National Center for Education Statistics
"Number of students enrolled in postsecondary institutions annually, by state and  sector of institution: 2023-24"

Year,State,Total,Administrative unit only,"Public, 4-year or above","Private not-for-profit, 4-year or above","Private for-profit, 4-year or above","Public, 2-year","Private not-for-profit, 2-year","Private for-profit, 2-year","Public, less-than 2-year","Private not-for-profit, less-than 2-year","Private for-profit, less-than 2-year"
2006-07,Illinois,"1,321,986",N/A,"234,744","267,716","93,835","682,793","2,284","15,804",349,854,"23,607"
2006-07,Indiana,"511,598",N/A,"254,753","109,326","20,728","110,887",864,"10,540",188,N/A,"4,312"
2006-07,Iowa,"354,151",N/A,"78,793","74,938","72,160","124,710",235,"3,087",N/A,N/A,228
2006-07,Kansas,"283,926",N/A,"116,211","30,812",826,"125,538",516,"2,147","2,445","1,724","3,707"
2006-07,Kentucky,"317,794",N/A,"138,080","35,283","13,338","118,677",N/A,"11,429",N/A,271,716
2006-07,Louisiana,"304,651",N/A,"173,409","28,109","3,922","81,219",160,"8,679","2,978",N/A,"6,175"
2006-07,Maine,"91,547",N/A,"45,742","23,055",N/A,"18,582",193,"2,615",N/A,63,"1,297"
2006-07,Maryland,"431,133",N/A,"179,476","64,429","4,755","168,252",N/A,"5,334",N/A,N/A,"8,887"
2006-07,Massachusetts,"599,698",N/A,"145,683","302,601","3,851","125,748","2,960","4,646",396,N/A,"13,813"
2006-07,Michigan,"889,658",N/A,"337,398","149,958","7,451","366,452",310,"6,583",N/A,118,"21,388"
2006-07,Minnesota,"504,399",N/A,"158,137","82,883","91,495","164,655",108,"3,016",N/A,589,"3,516"
2006-07,Mississippi,"197,723",N/A,"82,734","16,373",N/A,"93,747",N/A,"3,149",N/A,N/A,"1,720"
2006-07,Missouri,"521,016",N/A,"157,791","191,387","17,182","132,998","2,031","13,876","1,134",N/A,"4,617"
2006-07,Montana,"61,819",N/A,"40,765","5,086",N/A,"14,779",725,378,N/A,N/A,86
2006-07,Nebraska,"192,993",N/A,"64,072","39,094","3,564","83,248",251,"2,536",N/A,N/A,228
2006-07,Nevada,"162,226",N/A,"124,934","1,689","9,113","17,884",70,"5,482",N/A,N/A,"3,054"
2006-07,New Hampshire,"93,959",N/A,"33,966","31,531","5,389","19,101",644,"1,299",N/A,218,"1,811"
2006-07,New Jersey,"529,310",N/A,"182,846","85,721","6,463","224,176",475,"5,158",790,909,"22,772"
2006-07,New Mexico,"188,079",N/A,"69,189","4,005","8,043","103,708",N/A,727,N/A,N/A,"2,407"
2006-07,New York,"1,531,475",N/A,"450,787","562,958","30,596","395,997","11,892","45,886","4,802","3,375","25,182"
2006-07,North Carolina,"629,099",N/A,"235,999","97,081","6,142","281,185",982,"4,483",N/A,167,"3,060"
2006-07,North Dakota,"60,819",N/A,"38,501","6,357","1,914","12,666",856,510,N/A,N/A,15
2006-07,Ohio,"854,010",N/A,"343,812","166,998","10,634","261,243","2,944","48,268","11,919",366,"7,826"
2006-07,Oklahoma,"292,525",N/A,"144,049","24,771","5,721","99,815",N/A,"5,754","9,439",N/A,"2,976"
2006-07,Oregon,"312,183",N/A,"112,779","34,475","8,174","146,467",N/A,"7,494",N/A,N/A,"2,794"
2006-07,Pennsylvania,"937,601",N/A,"315,675","313,372","29,126","193,062","13,113","53,669","2,978",573,"16,033"
2006-07,Rhode Island,"105,004",N/A,"29,618","46,367",N/A,"22,929",136,997,N/A,N/A,"4,957"
2006-07,South Carolina,"276,734",N/A,"113,061","42,092","2,986","113,060","1,043","1,992",N/A,N/A,"2,500"
2006-07,South Dakota,"63,910",N/A,"42,240","8,996","4,951","6,454",774,495,N/A,N/A,N/A
2006-07,Tennessee,"390,776",N/A,"151,572","77,675","12,844","125,229",769,"16,969",437,125,"5,156"
2006-07,Texas,"1,784,224",N/A,"647,759","147,912","21,985","862,185","1,732","41,815",126,866,"59,844"
2006-07,Utah,"298,984",N/A,"155,773","54,007","9,695","66,843","1,728","6,409","2,223",N/A,"2,306"
2006-07,Vermont,"54,302",N/A,"23,349","20,001",816,"9,410",533,N/A,22,N/A,171
2006-07,Virginia,"623,177",N/A,"235,193","89,844","33,449","242,186","1,091","14,719",818,744,"5,133"
2006-07,Washington,"528,189",N/A,"182,567","51,434","12,034","270,116",760,"2,662","1,081",45,"7,490"
2006-07,West Virginia,"157,126",N/A,"80,458","14,784","29,028","27,001",N/A,"4,526","1,090",192,47
2006-07,Wisconsin,"456,214",N/A,"205,298","85,663","9,055","149,120","1,050","4,159",N/A,269,"1,600"
2006-07,Wyoming,"50,773",N/A,"16,624",N/A,74,"31,498",N/A,"2,564",13,N/A,N/A
2005-06,Total,"24,689,847",N/A,"8,374,656","4,225,076","1,216,713","9,779,142","78,689","511,971","79,020","19,829","404,751"
2005-06,Alabama,"339,525",N/A,"185,398","28,048","7,868","115,899",145,700,N/A,92,"1,375"
2005-06,Alaska,"57,783",N/A,"47,904","1,366",879,"3,937",N/A,N/A,"3,229",N/A,468
2005-06,Arizona,"889,715",N/A,"148,392","11,925","326,492","370,544",N/A,"24,019",666,N/A,"7,677"
2005-06,Arkansas,"193,395",N/A,"96,816","15,595","1,774","73,379","1,554","1,113",687,N/A,"2,477"
2005-06,California,"3,473,573",N/A,"689,971","316,527","122,410","2,177,127","18,559","58,516","11,429","5,463","73,571"
2005-06,Colorado,"463,672",N/A,"204,125","40,020","58,812","128,622",232,"14,893","15,805",N/A,"1,163"
2005-06,Connecticut,"238,278",N/A,"81,156","69,281","2,753","65,801","2,934","1,588",N/A,526,"14,239"
2005-06,Delaware,"65,500",N/A,"28,038","16,558",N/A,"19,583",263,N/A,N/A,N/A,"1,058"
2005-06,District of Columbia,"139,143",N/A,"11,563","82,425","42,856",N/A,32,N/A,N/A,N/A,"2,267"
2005-06,Florida,"1,319,748",N/A,"512,161","197,916","104,714","431,031",250,"41,418","5,978","1,164","25,116"
2005-06,Georgia,"603,400",N/A,"249,389","70,010","31,059","226,915","1,218","8,729",N/A,N/A,"16,080"
2005-06,Hawaii,"91,654",N/A,"34,771","18,951","3,404","31,797","1,337",589,N/A,N/A,805
2005-06,Idaho,"111,859",N/A,"66,909","22,005","1,998","18,347",N/A,"1,900",N/A,N/A,700
2005-06,Illinois,"1,316,311",N/A,"233,859","260,913","101,035","680,622","1,473","15,221",324,"1,187","21,677"
2005-06,Indiana,"494,593",N/A,"251,599","106,952","12,200","104,728",983,"13,935",146,N/A,"4,050"
2005-06,Iowa,"315,549",N/A,"78,305","74,941","35,026","123,782",239,"3,256",N/A,N/A,N/A
2005-06,Kansas,"286,700",N/A,"116,631","32,820",985,"125,744",525,"1,544","2,332","2,100","4,019"
2005-06,Kentucky,"311,775",N/A,"137,534","34,327","12,446","116,065",N/A,"10,723",N/A,221,459
2005-06,Louisiana,"293,648",N/A,"180,642","17,171","4,637","76,536",264,"7,757","1,098",N/A,"5,543"
2005-06,Maine,"88,262",N/A,"45,705","21,206",N/A,"17,334",199,"2,142",N/A,69,"1,607"
2005-06,Maryland,"428,901",N/A,"172,989","65,367","3,610","173,104",N/A,"5,479",N/A,N/A,"8,352"
2005-06,Massachusetts,"591,413",N/A,"145,037","297,232","3,847","123,122","3,013","3,885",393,N/A,"14,884"
2005-06,Michigan,"867,470",N/A,"338,329","146,365","9,396","347,981",655,"7,379",101,80,"17,184"
2005-06,Minnesota,"482,515",N/A,"155,819","79,476","76,776","161,597","1,959","2,883",N/A,784,"3,221"
2005-06,Mississippi,"206,008",N/A,"82,486","16,408",N/A,"102,966",N/A,"2,480",N/A,N/A,"1,668"
2005-06,Missouri,"528,432",N/A,"163,803","191,587","18,694","133,968","1,703","12,757","1,581",N/A,"4,339"
2005-06,Montana,"62,806",N/A,"40,914","5,517",N/A,"15,227",682,343,N/A,N/A,123
2005-06,Nebraska,"188,348",N/A,"64,001","35,776","3,535","82,164",285,"2,421",N/A,N/A,166
2005-06,Nevada,"157,408",N/A,"112,985",966,"9,967","24,950",42,"6,052",N/A,14,"2,432"
2005-06,New Hampshire,"94,560",N/A,"34,034","31,952","5,463","18,501",916,"1,767",N/A,211,"1,716"
2005-06,New Jersey,"517,445",N/A,"180,222","83,151","6,167","218,301","1,299","4,342",742,294,"22,927"
2005-06,New Mexico,"191,929",N/A,"69,896","4,714","9,099","105,868",N/A,735,N/A,N/A,"1,617"
2005-06,New York,"1,521,245",N/A,"443,073","560,629","31,345","394,455","11,579","46,408","4,231","3,447","26,078"
2005-06,North Carolina,"626,109",N/A,"230,505","97,166","5,856","283,894",947,"4,531",N/A,103,"3,107"
2005-06,North Dakota,"59,570",N/A,"38,728","5,721","1,448","12,258",956,445,N/A,N/A,14
2005-06,Ohio,"849,469",N/A,"343,411","168,120","10,655","264,725","2,919","41,284","11,482",511,"6,362"
2005-06,Oklahoma,"299,491",N/A,"137,993","30,448","6,270","106,109",N/A,"4,335","10,035",N/A,"4,301"
2005-06,Oregon,"309,837",N/A,"113,188","32,965","8,576","144,542",266,"7,357",N/A,N/A,"2,943"
2005-06,Pennsylvania,"918,475",N/A,"314,059","310,090","23,416","188,612","11,913","51,812","2,964","1,602","14,007"
2005-06,Rhode Island,"103,596",N/A,"29,536","46,180",N/A,"22,407",144,718,N/A,N/A,"4,611"
2005-06,South Carolina,"273,298",N/A,"113,683","40,933","2,200","111,048",942,"1,965",N/A,N/A,"2,527"
2005-06,South Dakota,"64,322",N/A,"41,675","9,302","5,728","6,353",865,399,N/A,N/A,N/A
2005-06,Tennessee,"384,165",N/A,"150,101","76,291","12,740","123,458",702,"16,266",N/A,150,"4,457"
2005-06,Texas,"1,760,732",N/A,"640,396","148,557","24,367","845,615","1,714","42,805",N/A,777,"56,501"
2005-06,Utah,"287,797",N/A,"148,656","50,776","10,431","64,551","1,604","7,026","2,636",N/A,"2,117"
2005-06,Vermont,"53,439",N/A,"23,072","19,622",421,"9,310",490,328,27,N/A,169
2005-06,Virginia,"603,291",N/A,"233,003","80,925","31,312","235,398","1,122","14,770",913,524,"5,324"
2005-06,Washington,"536,514",N/A,"135,271","51,001","13,771","324,035",727,"2,632","1,073",50,"7,954"
2005-06,West Virginia,"129,154",N/A,"79,799","14,792","1,566","26,275",48,"5,337","1,121",173,43
2005-06,Wisconsin,"447,349",N/A,"179,842","84,090","8,565","170,031",990,"2,288",N/A,287,"1,256"
2005-06,Wyoming,"50,676",N/A,"17,282",N/A,144,"30,524",N/A,"2,699",27,N/A,N/A
2004-05,Total,"24,475,143",N/A,"8,263,081","4,163,843","1,098,816","9,876,057","83,598","502,473","72,443","21,634","393,198"
2004-05,Alabama,"352,322",N/A,"185,249","28,648","9,342","125,629",366,716,N/A,153,"2,219"
2004-05,Alaska,"55,260",N/A,"48,241","1,253",844,"3,448",N/A,N/A,959,N/A,515
2004-05,Arizona,"834,890",N/A,"136,997","12,818","288,950","362,195",344,"24,264","3,045",N/A,"6,277"
2004-05,Arkansas,"187,018",N/A,"93,587","15,038","1,381","71,164","1,364","1,105",823,N/A,"2,556"
2004-05,California,"3,447,244",N/A,"680,376","317,023","121,127","2,158,718","18,417","55,520","18,154","6,618","71,291"
2004-05,Colorado,"451,154",N/A,"202,099","40,017","40,080","144,303",242,"16,790","6,089",N/A,"1,534"
2004-05,Connecticut,"233,774",N/A,"79,328","69,181","2,706","66,347","2,407",705,N/A,578,"12,522"
2004-05,Delaware,"65,144",N/A,"28,070","16,470",N/A,"19,078",253,N/A,N/A,N/A,"1,273"
2004-05,District of Columbia,"132,339",N/A,"10,095","81,718","37,536",N/A,41,N/A,N/A,88,"2,861"
2004-05,Florida,"1,319,024",N/A,"480,708","188,247","97,634","474,320","3,542","41,944","6,573","1,348","24,708"
2004-05,Georgia,"588,378",N/A,"235,625","69,169","26,517","231,051","1,292","8,680",N/A,665,"15,379"
2004-05,Hawaii,"93,433",N/A,"34,906","19,233","3,565","32,929","1,516",672,N/A,N/A,612
2004-05,Idaho,"109,871",N/A,"65,731","20,802","1,959","18,896",N/A,"1,944",N/A,N/A,539
2004-05,Illinois,"1,319,826",N/A,"234,534","255,981","94,518","698,972","1,237","12,189",389,"1,206","20,800"
2004-05,Indiana,"493,055",N/A,"258,054","102,509","7,583","105,781","1,014","13,760",190,N/A,"4,164"
2004-05,Iowa,"312,283",N/A,"80,142","71,237","36,150","119,897","1,384","3,473",N/A,N/A,N/A
2004-05,Kansas,"284,790",N/A,"115,268","30,777",862,"127,138","1,703","1,269","2,186","1,950","3,637"
2004-05,Kentucky,"307,266",N/A,"137,321","33,565","13,609","111,081",N/A,"11,101",N/A,290,299
2004-05,Louisiana,"335,264",N/A,"188,997","34,050","5,452","90,044",111,"7,639","1,018",N/A,"7,953"
2004-05,Maine,"90,250",N/A,"48,328","22,355",N/A,"16,052",159,"1,842",N/A,68,"1,446"
2004-05,Maryland,"427,819",N/A,"175,168","65,037","3,460","171,020",N/A,"5,259",N/A,N/A,"7,875"
2004-05,Massachusetts,"582,665",N/A,"143,409","291,355","3,100","122,907","2,974","3,850",382,N/A,"14,688"
2004-05,Michigan,"865,215",N/A,"338,668","141,209","8,597","351,830",848,"5,552",43,99,"18,369"
2004-05,Minnesota,"473,572",N/A,"158,382","81,472","62,429","160,066","2,105","5,597",N/A,667,"2,854"
2004-05,Mississippi,"209,016",N/A,"83,183","17,299",N/A,"104,411",N/A,"2,590",N/A,N/A,"1,533"
2004-05,Missouri,"509,785",N/A,"156,820","186,368","16,424","132,787","1,627","11,605","1,385",N/A,"2,769"
2004-05,Montana,"60,775",N/A,"40,752","5,558",N/A,"13,137",835,324,N/A,N/A,169
2004-05,Nebraska,"180,159",N/A,"63,717","34,139","2,989","76,827",299,"1,946",N/A,N/A,242
2004-05,Nevada,"155,242",N/A,"111,741","1,087","9,153","24,417",21,"7,690",N/A,21,"1,112"
2004-05,New Hampshire,"93,792",N/A,"34,549","31,090","5,469","18,122",759,"2,118",N/A,202,"1,483"
2004-05,New Jersey,"513,225",N/A,"178,725","80,790","6,326","217,137","1,491","5,353",835,241,"22,327"
2004-05,New Mexico,"191,716",N/A,"69,585","5,007","8,920","105,840",N/A,679,N/A,N/A,"1,685"
2004-05,New York,"1,505,931",N/A,"437,312","552,866","30,418","389,182","11,721","50,210","4,051","3,215","26,956"
2004-05,North Carolina,"643,256",N/A,"223,096","93,708","4,193","314,835",793,"3,950",N/A,121,"2,560"
2004-05,North Dakota,"63,191",N/A,"41,976","6,349",N/A,"12,695",741,"1,417",N/A,N/A,13
2004-05,Ohio,"833,044",N/A,"340,628","164,505","9,975","263,344","3,857","34,685","9,899",625,"5,526"
2004-05,Oklahoma,"295,071",N/A,"139,115","27,920","5,748","104,730",N/A,"4,325","9,277",N/A,"3,956"
2004-05,Oregon,"301,872",N/A,"105,791","31,118","7,559","146,009",462,"8,093",N/A,N/A,"2,840"
2004-05,Pennsylvania,"893,461",N/A,"308,869","300,460","20,991","184,966","10,688","49,906","3,274","1,289","13,018"
2004-05,Rhode Island,"103,541",N/A,"28,995","45,906",N/A,"23,268",144,934,N/A,N/A,"4,294"
2004-05,South Carolina,"271,049",N/A,"110,657","42,417","1,655","110,975","1,033","1,853",N/A,N/A,"2,459"
2004-05,South Dakota,"64,434",N/A,"42,112","9,056","5,561","6,458",870,377,N/A,N/A,N/A
2004-05,Tennessee,"375,203",N/A,"147,981","72,027","11,279","123,949",577,"15,387",N/A,101,"3,902"
2004-05,Texas,"1,760,612",N/A,"631,881","147,474","22,646","860,742","1,648","41,452",N/A,697,"54,072"
2004-05,Utah,"286,148",N/A,"149,481","48,623","9,554","65,844","1,645","7,843",876,N/A,"2,282"
2004-05,Vermont,"51,494",N/A,"21,990","19,331",216,"9,109",463,227,20,N/A,138
2004-05,Virginia,"594,406",N/A,"229,771","80,805","29,074","233,187","1,008","12,283",859,592,"6,827"
2004-05,Washington,"531,856",N/A,"126,491","52,896","14,355","324,919",686,"3,217",861,56,"8,375"
2004-05,West Virginia,"129,840",N/A,"81,994","15,422","1,364","23,916",49,"5,649","1,232",214,N/A
2004-05,Wisconsin,"446,424",N/A,"179,199","82,458","7,429","174,016",862,"1,641",N/A,530,289
2004-05,Wyoming,"48,744",N/A,"17,387",N/A,117,"28,369",N/A,"2,848",23,N/A,N/A
2003-04,Total,"24,094,265",N/A,"8,240,251","4,098,609","882,512","9,846,055","80,330","451,191","103,288","22,000","370,029"
2003-04,Alabama,"336,088",N/A,"178,415","27,544","6,315","121,068",341,756,N/A,122,"1,527"
2003-04,Alaska,"58,370",N/A,"50,355","1,222",841,"4,156",N/A,N/A,"1,355",N/A,441
2003-04,Arizona,"797,081",N/A,"150,158","13,321","231,768","367,696",300,"25,340","2,931",N/A,"5,567"
2003-04,Arkansas,"181,619",N/A,"91,624","14,677",787,"68,823","1,432",880,893,N/A,"2,503"
2003-04,California,"3,460,921",N/A,"691,853","314,369","108,712","2,180,571","16,545","51,281","23,677","7,397","66,516"
2003-04,Colorado,"441,444",N/A,"205,256","35,059","27,257","140,657",187,"16,652","13,367",N/A,"3,009"
2003-04,Connecticut,"229,209",N/A,"78,227","69,382","1,011","64,402","1,960","1,922",N/A,345,"11,960"
2003-04,Delaware,"63,206",N/A,"28,004","15,254",N/A,"18,535",243,N/A,N/A,N/A,"1,170"
2003-04,District of Columbia,"130,282",N/A,"9,920","80,137","37,391",N/A,45,N/A,N/A,99,"2,690"
2003-04,Florida,"1,289,118",N/A,"475,552","181,103","81,035","478,046","4,070","35,830","9,648",970,"22,864"
2003-04,Georgia,"591,199",N/A,"237,123","68,543","40,261","223,366","1,336","6,199",N/A,N/A,"14,371"
2003-04,Hawaii,"93,089",N/A,"30,378","19,250","3,223","37,133","1,759",652,N/A,71,623
2003-04,Idaho,"108,450",N/A,"66,808","19,394","1,468","18,686",N/A,"1,556",N/A,N/A,538
2003-04,Illinois,"1,261,466",N/A,"237,684","250,966","42,926","698,646","1,533","11,145",382,"1,627","16,557"
2003-04,Indiana,"482,742",N/A,"248,562","93,651","4,866","117,652","1,007","12,903",155,N/A,"3,946"
2003-04,Iowa,"291,699",N/A,"80,157","67,416","22,252","117,937","1,467","2,470",N/A,N/A,N/A
2003-04,Kansas,"285,699",N/A,"116,051","30,996",673,"128,398","1,611","1,714","1,853","1,796","2,607"
2003-04,Kentucky,"307,109",N/A,"140,461","32,852","8,173","110,961",N/A,"14,141",N/A,177,344
2003-04,Louisiana,"330,977",N/A,"188,448","34,051","4,687","86,956",121,"7,970",695,N/A,"8,049"
2003-04,Maine,"85,467",N/A,"43,942","22,368",N/A,"16,000",165,"1,615",N/A,68,"1,309"
2003-04,Maryland,"420,977",N/A,"170,634","64,170","3,557","168,939",N/A,"6,521",N/A,N/A,"7,156"
2003-04,Massachusetts,"582,472",N/A,"143,457","289,952","2,382","127,380","2,604","3,437",335,N/A,"12,925"
2003-04,Michigan,"855,531",N/A,"342,843","142,912","8,172","339,525",829,"4,448",77,138,"16,587"
2003-04,Minnesota,"463,190",N/A,"158,556","81,632","50,109","162,397","2,010","5,445",15,545,"2,481"
2003-04,Mississippi,"199,297",N/A,"81,726","16,104",N/A,"98,040",N/A,"2,493",N/A,N/A,934
2003-04,Missouri,"508,437",N/A,"157,043","188,329","12,363","135,456","1,301","10,219","1,384",146,"2,196"
2003-04,Montana,"76,177",N/A,"55,889","5,506",N/A,"13,492",900,110,N/A,N/A,280
2003-04,Nebraska,"175,029",N/A,"64,542","32,540","2,093","73,678",261,"1,746",N/A,N/A,169
2003-04,Nevada,"154,049",N/A,"115,117","1,007","7,840","24,094",N/A,"4,912",N/A,41,"1,038"
2003-04,New Hampshire,"93,696",N/A,"34,469","31,135","6,582","17,553",603,"2,248",N/A,167,939
2003-04,New Jersey,"503,843",N/A,"179,098","79,756","6,909","208,158","1,439","4,048","1,165",227,"23,043"
2003-04,New Mexico,"192,848",N/A,"71,114","4,905","8,472","106,117",N/A,"1,130",N/A,N/A,"1,110"
2003-04,New York,"1,483,364",N/A,"437,734","551,701","27,302","382,030","10,269","41,820","3,535","3,808","25,165"
2003-04,North Carolina,"610,174",N/A,"216,366","91,291",940,"291,637","1,007","6,115",N/A,169,"2,649"
2003-04,North Dakota,"58,880",N/A,"38,165","6,530",N/A,"12,611",466,"1,087",N/A,N/A,21
2003-04,Ohio,"827,866",N/A,"333,423","163,034","8,868","272,101","3,621","31,168","8,816",585,"6,250"
2003-04,Oklahoma,"289,015",N/A,"136,553","26,160","5,430","104,262",N/A,"3,347","8,424",N/A,"4,839"
2003-04,Oregon,"302,634",N/A,"110,640","30,148","7,338","145,287",569,"6,579",N/A,N/A,"2,073"
2003-04,Pennsylvania,"891,114",N/A,"315,783","293,109","17,969","188,445","11,006","43,626","3,010","1,315","16,851"
2003-04,Rhode Island,"103,606",N/A,"29,730","45,697",N/A,"23,209",101,"1,179",N/A,N/A,"3,690"
2003-04,South Carolina,"271,534",N/A,"111,415","42,774","1,117","111,101",917,"1,782",54,N/A,"2,374"
2003-04,South Dakota,"63,256",N/A,"42,028","8,839","4,926","6,306",821,336,N/A,N/A,N/A
2003-04,Tennessee,"366,644",N/A,"144,825","71,096","6,746","107,221","1,056","14,885","17,329",95,"3,391"
2003-04,Texas,"1,723,325",N/A,"597,049","149,293","19,890","873,301","1,782","30,816",760,988,"49,446"
2003-04,Utah,"284,864",N/A,"151,025","46,416","8,315","67,822","1,609","6,090",774,N/A,"2,813"
2003-04,Vermont,"50,586",N/A,"21,409","18,967",135,"9,348",479,125,18,N/A,105
2003-04,Virginia,"573,983",N/A,"227,075","76,003","22,658","230,755","1,017","7,797",806,581,"7,291"
2003-04,Washington,"525,535",N/A,"124,521","49,356","12,371","325,389",726,"4,914",906,46,"7,306"
2003-04,West Virginia,"125,841",N/A,"81,409","16,001",N/A,"21,428",43,"5,872",912,176,N/A
2003-04,Wisconsin,"443,897",N/A,"180,306","82,691","6,382","171,858",772,"1,271",N/A,301,316
2003-04,Wyoming,"47,366",N/A,"17,329",N/A,N/A,"27,426",N/A,"2,599",12,N/A,N/A
2002-03,Total,"23,793,871",N/A,"8,050,609","4,038,601","656,999","10,063,632","85,763","411,036","125,970","27,088","334,173"
2002-03,Alabama,"332,325",N/A,"171,087","27,754","6,875","124,041",344,261,N/A,122,"1,841"
2002-03,Alaska,"58,173",N/A,"50,102","1,226","1,019","4,493",N/A,N/A,905,N/A,428
2002-03,Arizona,"682,985",N/A,"134,638","19,573","139,485","357,981",428,"22,635","2,782",N/A,"5,463"
2002-03,Arkansas,"186,802",N/A,"89,540","15,625",509,"71,771","1,923",572,"4,786",N/A,"2,076"
2002-03,California,"3,705,782",N/A,"691,126","311,284","94,802","2,438,479","23,665","45,520","32,921","7,557","60,428"
2002-03,Colorado,"424,935",N/A,"195,447","33,547","21,689","151,644",363,"13,062","6,041",N/A,"3,142"
2002-03,Connecticut,"229,273",N/A,"79,000","70,852",313,"64,236",664,"3,224",N/A,585,"10,399"
2002-03,Delaware,"63,917",N/A,"29,218","14,932",N/A,"18,576",250,N/A,N/A,N/A,941
2002-03,District of Columbia,"120,317",N/A,"5,424","78,963","33,147",N/A,56,N/A,N/A,48,"2,679"
2002-03,Florida,"1,231,958",N/A,"445,133","177,196","61,396","482,228","3,342","28,160","8,568","1,169","24,766"
2002-03,Georgia,"557,448",N/A,"234,354","70,978","29,199","206,598","1,424","4,698",N/A,N/A,"10,197"
2002-03,Hawaii,"91,635",N/A,"29,642","19,347","2,665","35,763","2,635",831,N/A,N/A,752
2002-03,Idaho,"107,612",N/A,"67,267","18,958","1,148","18,118",N/A,"1,621",N/A,N/A,500
2002-03,Illinois,"1,237,505",N/A,"237,838","244,194","34,160","693,285","1,261","11,595",223,"1,637","13,312"
2002-03,Indiana,"474,516",N/A,"250,693","92,076","3,311","111,045","1,605","12,380",205,N/A,"3,201"
2002-03,Iowa,"276,909",N/A,"83,155","65,823","13,125","111,391","1,326","2,089",N/A,N/A,N/A
2002-03,Kansas,"289,821",N/A,"114,771","32,597",309,"132,539","1,218","1,473","3,100","1,701","2,113"
2002-03,Kentucky,"310,163",N/A,"151,566","30,321","7,793","106,532",925,"12,622",N/A,203,201
2002-03,Louisiana,"319,786",N/A,"186,385","34,139","3,786","80,747",89,"5,715","1,018",N/A,"7,907"
2002-03,Maine,"85,303",N/A,"46,082","21,573",N/A,"14,776",147,"1,540",N/A,68,"1,117"
2002-03,Maryland,"411,716",N/A,"166,137","63,197","2,720","170,125",90,"4,271",N/A,N/A,"5,176"
2002-03,Massachusetts,"582,196",N/A,"148,005","289,820","2,555","125,859","2,945","2,884",344,42,"9,742"
2002-03,Michigan,"853,677",N/A,"341,008","140,715","5,652","345,742",790,"4,132",657,"1,085","13,896"
2002-03,Minnesota,"436,321",N/A,"156,679","75,021","30,723","163,636","2,433","5,293",N/A,490,"2,046"
2002-03,Mississippi,"196,042",N/A,"82,123","15,049",N/A,"95,207",N/A,"2,631",N/A,N/A,"1,032"
2002-03,Missouri,"489,535",N/A,"158,226","171,710","12,127","132,374","1,567","9,803","1,309",84,"2,335"
2002-03,Montana,"58,891",N/A,"40,349","5,239",N/A,"12,373",723,142,N/A,N/A,65
2002-03,Nebraska,"174,738",N/A,"65,560","30,580",N/A,"74,213",266,"3,962",N/A,N/A,157
2002-03,Nevada,"146,352",N/A,"57,473","1,187","6,023","77,643",N/A,"3,676",N/A,74,276
2002-03,New Hampshire,"94,606",N/A,"34,641","32,432","6,345","17,990",N/A,"2,357",N/A,154,687
2002-03,New Jersey,"484,501",N/A,"173,705","76,911","7,464","199,941","1,372","3,289","1,069",546,"20,204"
2002-03,New Mexico,"179,884",N/A,"63,820","4,916","6,823","101,922",258,"1,065",N/A,N/A,"1,080"
2002-03,New York,"1,474,786",N/A,"438,325","549,619","27,896","372,248","9,875","44,132","3,576","6,878","22,237"
2002-03,North Carolina,"590,035",N/A,"209,657","91,314",166,"280,621",859,"4,458",N/A,260,"2,700"
2002-03,North Dakota,"54,991",N/A,"36,807","5,168",N/A,"11,754",645,597,N/A,N/A,20
2002-03,Ohio,"824,612",N/A,"332,091","162,838","7,458","268,089","2,695","27,104","18,313",540,"5,484"
2002-03,Oklahoma,"281,418",N/A,"129,730","27,040","4,995","104,059",N/A,"2,058","7,748",N/A,"5,788"
2002-03,Oregon,"306,905",N/A,"109,279","29,486","4,459","153,656",801,"6,648",N/A,N/A,"2,576"
2002-03,Pennsylvania,"867,630",N/A,"308,371","287,777","13,967","182,532","9,930","41,420","3,193","2,096","18,344"
2002-03,Rhode Island,"100,289",N/A,"29,111","44,394",N/A,"23,083",84,N/A,N/A,N/A,"3,617"
2002-03,South Carolina,"269,712",N/A,"112,409","41,709","1,116","110,608",801,"1,427",77,N/A,"1,565"
2002-03,South Dakota,"60,501",N/A,"39,690","8,638","4,733","6,506",749,185,N/A,N/A,N/A
2002-03,Tennessee,"352,221",N/A,"139,230","70,128","4,769","102,557","1,134","10,629","20,034",140,"3,600"
2002-03,Texas,"1,686,149",N/A,"581,827","149,592","15,363","867,209","1,777","27,829",250,595,"41,707"
2002-03,Utah,"271,429",N/A,"146,081","46,858","6,948","55,450","1,537","5,972","6,067",N/A,"2,516"
2002-03,Vermont,"49,506",N/A,"21,015","18,548",263,"8,908",409,211,N/A,N/A,152
2002-03,Virginia,"572,044",N/A,"225,818","73,390","13,784","236,569",799,"12,280",646,527,"8,231"
2002-03,Washington,"533,453",N/A,"126,823","48,031","10,999","333,757",792,"5,333",908,37,"6,773"
2002-03,West Virginia,"123,355",N/A,"86,038","15,009",N/A,"15,370",45,"5,498","1,217",178,N/A
2002-03,Wisconsin,"432,265",N/A,"180,841","81,327","4,920","162,088",722,"1,391",N/A,272,704
2002-03,Wyoming,"46,946",N/A,"17,272",N/A,N/A,"27,300",N/A,"2,361",13,N/A,N/A
2001-02,Total,"23,010,948",N/A,"7,725,999","3,892,889","586,416","9,900,692","91,307","354,041","128,613","22,875","308,116"
